id,text,label,
0,How did serfdom develop in and then leave Russia ?,DESC,
1,What films featured the character Popeye Doyle ?,ENTY,
2,How can I find a list of celebrities ' real names ?,DESC,
3,What fowl grabs the spotlight after the Chinese Year of the Monkey ?,ENTY,
4,What is the full form of .com ?,ABBR,
5,What contemptible scoundrel stole the cork from my lunch ?,HUM,
6,What team did baseball 's St. Louis Browns become ?,HUM,
7,What is the oldest profession ?,HUM,
8,What are liver enzymes ?,DESC,
9,Name the scar-faced bounty hunter of The Old West .,HUM,
10,When was Ozzy Osbourne born ?,NUM,
11,Why do heavier objects travel downhill faster ?,DESC,
12,Who was The Pride of the Yankees ?,HUM,
13,Who killed Gandhi ?,HUM,
14,What is considered the costliest disaster the insurance industry has ever faced ?,ENTY,
15,What sprawling U.S. state boasts the most airports ?,LOC,
16,What did the only repealed amendment to the U.S. Constitution deal with ?,DESC,
17,How many Jews were executed in concentration camps during WWII ?,NUM,
18,What is `` Nine Inch Nails '' ?,DESC,
19,What is an annotated bibliography ?,DESC,
20,What is the date of Boxing Day ?,NUM,
21,What articles of clothing are tokens in Monopoly ?,ENTY,
22,Name 11 famous martyrs .,HUM,
23,What 's the Olympic motto ?,DESC,
24,What is the origin of the name ` Scarlett ' ?,DESC,
25,What 's the second-most-used vowel in English ?,ENTY,
26,Who was the inventor of silly putty ?,HUM,
27,What is the highest waterfall in the United States ?,LOC,
28,Name a golf course in Myrtle Beach .,ENTY,
29,Which two states enclose Chesapeake Bay ?,LOC,
30,What does the abbreviation AIDS stand for ?,ABBR,
31,What does a spermologer collect ?,ENTY,
32,How many points make up a perfect fivepin bowling score ?,NUM,
33,Which company that manufactures video-game hardware sells the `` super system '' ?,HUM,
34,How many Community Chest cards are there in Monopoly ?,NUM,
35,What do Mormons believe ?,DESC,
36,When did the neanderthal man live ?,NUM,
37,In what religion was Isis the nature goddess ?,ENTY,
38,Where do the adventures of `` The Swiss Family Robinson '' take place ?,LOC,
39,What relative of the racoon is sometimes known as the cat-bear ?,ENTY,
40,How can I register my website in Yahoo for free ?,DESC,
41,What was cash-conscious Colonel Edwin L. Drake the first to drill ?,ENTY,
42,How many people in the world speak French ?,NUM,
43,How many inches over six feet is the Venus de Milo ?,NUM,
44,How do they find or choose witnesses to an execution ?,DESC,
45,What 1920s cowboy star rode Tony the Wonder Horse ?,HUM,
46,What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?,ENTY,
47,What ISPs exist in the Caribbean ?,HUM,
48,How do you ask a total stranger out on a date ?,DESC,
49,What weapon is the mythological character Apollo most proficient with ?,ENTY,
50,What country do the Galapagos Islands belong to ?,LOC,
51,What is ethology ?,DESC,
52,Who was the prophet of the Muslim people ?,HUM,
53,Where did the term `` 86ed '' come from ?,DESC,
54,Who is Snoopy 's arch-enemy ?,HUM,
55,What is the nature of learning ?,DESC,
56,What 's the only color Johnny Cash wears on stage ?,ENTY,
57,What 's the term for a young fox ?,ENTY,
58,What U.S. state lived under six flags ?,LOC,
59,What is the Kashmir issue ?,DESC,
60,Where is the Loop ?,LOC,
61,What does `` extended definition '' mean and how would one write a paper on it ?,DESC,
62,What country 's capital is Tirana ?,LOC,
63,What is titanium ?,DESC,
64,Who do Herb and Tootsie live next door to ?,HUM,
65,Which city has the oldest relationship as a sisterðcity with Los Angeles ?,LOC,
66,What is a caldera ?,DESC,
67,Why do people get calluses ?,DESC,
68,What are the names of the tourist attractions in Reims ?,LOC,
69,What are Cushman and Wakefield known for ?,DESC,
70,What body of water does the Danube River flow into ?,LOC,
71,Who is the founder of Scientology ?,HUM,
72,What does the six-footed Musca domestica become when it enters a house ?,ENTY,
73,What is the history of skateboarding ?,DESC,
74,Who starred in Singing in the Rain and The Singing Nun ?,HUM,
75,How do I make fuel bricks from recycled newspaper ?,DESC,
76,What 19th-century painter died in the Marquesas Islands ?,HUM,
77,The corpus callosum is in what part of the body ?,ENTY,
78,How do I log on to home page at Headquarters U.S. European Command ?,DESC,
79,What country did the Nazis occupy for 1 ,LOC,
80,What is Nebraska 's most valuable resource ?,ENTY,
81,How many species of the Great White shark are there ?,NUM,
82,What is the origin of head lice ?,DESC,
83,What is the nickname for the state of Mississippi ?,LOC,
84,What was the first domesticated bird ?,ENTY,
85,How many villi are found in the small intestine ?,NUM,
86,What country did King Wenceslas rule ?,LOC,
87,What is a fear of shadows ?,ENTY,
88,Who were the five Marx brothers ?,HUM,
89,In which year was New Zealand excluded from the ANZUS alliance ?,NUM,
90,When did CNN begin broadcasting ?,NUM,
91,What causes the body to shiver in cold temperatures ?,DESC,
92,What are bear and bull markets ?,DESC,
93,What J.R.R. Tolkien book features Bilbo Baggins as the central character ?,ENTY,
94,What is `` dew point '' ?,DESC,
95,What is the meaning of Jesus ?,DESC,
96,What company 's logo is a `` W '' in a circle ?,HUM,
97,What is the definition of a cascade ?,DESC,
98,When did Rococo painting and architecture flourish ?,NUM,
99,What country 's national passenger rail system is called Via ?,LOC,
100,Who invented Make-up ?,HUM,
101,What is the origin of the word `` attic '' ?,DESC,
102,What did Delilah do to Samson 's hair ?,DESC,
103,What kind of animals were in the Paleozoic era ?,ENTY,
104,Which of the following was Rhodes Scholar ?,HUM,
105,Who comprised the now-defunct comic book team known as the Champions ?,HUM,
106,How do you make a paintball ?,DESC,
107,What U.S. state is Fort Knox in ?,LOC,
108,What is a female rabbit called ?,ENTY,
109,Where is the highest point in Japan ?,LOC,
110,Where do chihuahuas come from ?,DESC,
111,Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?,LOC,
112,What are the world 's four oceans ?,LOC,
113,What 's the only work by Michelangelo that bears his signature ?,ENTY,
114,What is the largest snake in the world ?,ENTY,
115,In what medium is Stuart Hamblen considered to be the first singing cowboy ?,ENTY,
116,Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?,LOC,
117,How much money does a back injury lawsuit get ?,NUM,
118,What 's the common name for acetylsalicylic acid ?,ENTY,
119,What does the Georgetown `` Hoya '' mean ?,DESC,
120,Where can I find a list of `` classic '' books 5th and 6th graders should read ?,LOC,
121,Which two products use a tiger as their symbol ?,ENTY,
122,How is the election of a new Pope announced to the world ?,DESC,
123,How long does it take for your blood to make one complete trip through the body ?,NUM,
124,How do chickens have baby chicks ?,DESC,
125,What is the historical relationship of Catholic Church and bingo ?,DESC,
126,How was the element calcium named ?,DESC,
127,What crooner joined The Andrews Sisters for Pistol Packin Mama ?,HUM,
128,What piano company claims its product is the `` Instrument of the immortals '' ?,HUM,
129,When did the Bounty mutiny take place ?,NUM,
130,What novel inspired the movie BladeRunner ?,ENTY,
131,What is a transistor ?,DESC,
132,What is a film starring Jude Law ?,ENTY,
133,What Hollywood dog died in the arms of Jean Harlow in 1932 ?,ENTY,
134,What are the most common elements in the Earth 's crust ?,ENTY,
135,How much would it cost to purchase a 2-foot-square party tent ,NUM,
136,What actress has received the most Oscar nominations ?,HUM,
137,What are equity securities ?,DESC,
138,What is gymnophobia ?,DESC,
139,How many years do fossils take to form ?,NUM,
140,Where is the Orinoco ?,LOC,
141,What was the name of the `` Little Rascals '' dog ?,ENTY,
142,What city boasts Penn 's Landing ,LOC,
143,What Broadway musical was inspired by Cervantes 's Don Quixote ?,ENTY,
144,What is the origin of the word ,DESC,
145,How many hostages were killed in the Entebbe raid ?,NUM,
146,How you can raise your IQ ?,DESC,
147,What does INRI stand for when used on Jesus ' cross ?,ABBR,
148,Who produces Spumante ?,HUM,
149,Who earns their money the hard way ?,HUM,
150,Who founded the People 's Temple Commune ?,HUM,
151,What athlete makes the most money from sports merchandise sales ?,HUM,
152,How many bends are there in a standard paper clip ?,NUM,
153,Who discovered electricity ?,HUM,
154,What part of your body contains the corpus callosum ?,ENTY,
155,Who was the first American in space ?,HUM,
156,What two South American countries do n't border Brazil ?,LOC,
157,What album put The Beatles on the cover of Time in 1967 ?,ENTY,
158,What poem contains the line ,ENTY,
159,What is a dental root canal ?,DESC,
160,What war did the Wanna-Go-Home Riots occur after ?,ENTY,
161,What is the busiest air travel season ?,NUM,
162,What 's the colored part of the eye called ?,ENTY,
163,What are hook worms ?,DESC,
164,Where is the Rose Bowl played ?,LOC,
165,Which Japanese car maker had its biggest percentage of sale in the domestic market ?,HUM,
166,Who is the mayor of Marbella ?,HUM,
167,What sun-blasted ,LOC,
168,In what year did Thatcher become prime minister ?,NUM,
169,How many months does it take the moon to revolve around the Earth ?,NUM,
170,Where are the 49 steps ?,LOC,
171,In what year was De Gaulle elected president of France ?,NUM,
172,Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?,HUM,
173,Who directed `` Jaws '' ?,HUM,
174,On what T.V. show could Tom Terrific be found ?,ENTY,
175,What Indian tribe is F Troop perpetually doing battle with ?,HUM,
176,Where did Indian Pudding come from ?,DESC,
177,Why do some clothing labels say `` Use a nonchlorine bleach '' ?,DESC,
178,How many colonies were involved in the American Revolution ?,NUM,
179,What is the name of the city that Maurizio Pellegrin lives in ?,LOC,
180,Where can I find pictorial directions on how to build a very simple treehouse ?,LOC,
181,What game 's board shows the territories of Irkutsk ,ENTY,
182,What is the name of the managing director of Apricot Computer ?,HUM,
183,What is the occupation of Nicholas Cage ?,HUM,
184,Why do horseshoes bring luck ?,DESC,
185,What is the 401 ,DESC,
186,What causes pneumonia ?,DESC,
187,What are the three winter months in the southern hemisphere ?,NUM,
188,What does gringo mean ?,DESC,
189,What country contains Africa 's northernmost point ?,LOC,
190,What therapy attempts to elicit the `` primal scream '' ?,ENTY,
191,Where is the Kalahari desert ?,LOC,
192,Which Ventura County police department seized the largest cocaine shipment in it 's history ?,HUM,
193,What city is sometimes called Gotham ?,LOC,
194,What dangles over the tongue from the palate ?,ENTY,
195,Who created Dennis the Menace ?,HUM,
196,What dummy received an honorary degree from Northwestern University ?,HUM,
197,When was the first Wall Street Journal published ?,NUM,
198,What countries have the largest areas of forest ?,LOC,
199,How do I start a web based business ?,DESC,
200,Name Alvin 's brothers,HUM,
201,What is Eagle 's syndrome styloid process ?,DESC,
202,How did Jayne Mansfield die ?,DESC,
203,When did the royal wedding of Prince Andrew and Fergie take place ?,NUM,
204,What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?,HUM,
205,What explorer was nicknamed Iberia 's Pilot ?,HUM,
206,CNN began broadcasting in what year ?,NUM,
207,What is a ball that hits the foul pole called ?,ENTY,
208,What makes hamburgers taste like steakburgers ?,DESC,
209,Which company created the Internet browser Mosaic ?,HUM,
210,What are the rites accompanying the circumcision of a newly born-child in Judaism called ?,ENTY,
211,What was the education system in the 1960 's ?,ENTY,
212,What South American city has the world 's highest commercial landing field ?,LOC,
213,How can I find out which cities have cable-modem access ?,DESC,
214,What is Betsy Ross famous for ?,DESC,
215,How many species of sharks are there ?,NUM,
216,What is `` snoogans '' ?,DESC,
217,How many people are there in the world ?,NUM,
218,What shrubs can be planted that will be safe from deer ?,ENTY,
219,What organization 's offices were broken into at Watergate in 1972 ?,HUM,
220,What is the design of the ship Titanic ?,DESC,
221,What does S.O.S. stand for ?,ABBR,
222,Name a technique widely used to detect birth defects ?,ENTY,
223,What is the daily requirement of folic acid for an expectant mother ?,DESC,
224,What is the `` 7-minute cigarette '' ?,DESC,
225,What four forms does gold occur in ?,ENTY,
226,What is the acreage of the Chappellet vineyard ?,NUM,
227,How do you correctly say the word ` qigong ' ?,DESC,
228,When did beethoven die ?,NUM,
229,How much does a new railroad coal car cost ?,NUM,
230,What two European countries entered the War of American Independence against the British ?,LOC,
231,What is the filmmakers collabrative ?,DESC,
232,What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?,HUM,
233,What caused Harry Houdini 's death ?,DESC,
234,Who was the mother of the man who would not be king ,HUM,
235,How many revolutions does a standard LP make in three minutes ?,NUM,
236,What is the name of the tallest mountain in the world ?,LOC,
237,Where can I find a review of Nightmare on Elm Street in a film journal ?,LOC,
238,What 's the slowest Olympic swimming stroke ?,ENTY,
239,What was the name of the first Russian astronaut to do a spacewalk ?,HUM,
240,What disease is transmitted by the Anopheles mosquito ?,ENTY,
241,What rum is so `` mixable '' it is a one-brand bar ?,ENTY,
242,How many South American countries have the letter Z in their names ?,NUM,
243,What is the contents of proposition 98 ?,DESC,
244,Where was George Washington born ?,LOC,
245,How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie ,NUM,
246,Who wrote NN DT NNP NNP '' ?,HUM,
247,What is paracetamol ?,DESC,
248,What are the powers and weaknesses of Green Lantern 's ring ?,DESC,
249,Which mosquito 's bite draws blood ,ENTY,
250,When was the first steel mill in the United States built ?,NUM,
251,What diminutive American female gymnast stole the show at the 1984 Olympics ?,HUM,
252,What is the origin of the name Katie ?,DESC,
253,What schools in the Washington ,HUM,
254,When did the Berlin Wall go up ?,NUM,
255,Who is Terrence Malick ?,HUM,
256,What instrument is Ray Charles best known for playing ?,ENTY,
257,What 's the meaning of the Latin battle cry : Ad arma ,DESC,
258,What is the mascot for Notre Dame University ?,ENTY,
259,What Las Vegas hotel burned in November ,LOC,
260,When did Mount St. Helen last have a significant eruption ?,NUM,
261,CNN is the abbreviation for what ?,ABBR,
262,When did World War I start ?,NUM,
263,How many feet are there in a fathom ?,NUM,
264,What is a Canada two-penny black ?,DESC,
265,What European city do Nicois live in ?,LOC,
266,How can I find out what year a Beanie Baby was introduced ?,DESC,
267,What is the classic definition of tragic hero ?,DESC,
268,To what does Microsoft 's Windows 3 owe its success ?,ENTY,
269,Who was President of Afghanistan in 1994 ?,HUM,
270,What are other ways of getting stretch marks besides pregnancy ,ENTY,
271,What did brontosauruses eat ?,ENTY,
272,What color bottles do good Rhine wines come in ?,ENTY,
273,Who was the lead actress in the movie ` Sleepless in Seattle ' ?,HUM,
274,Who was the 16th President of the United States ?,HUM,
275,Who are the two sons of Ozzie and Harriet Nelson ?,HUM,
276,What is molybdenum ?,DESC,
277,When is Boxing Day ?,NUM,
278,What is the lowest level of the American judiciary ?,ENTY,
279,When was the battle of the Somme fought ?,NUM,
280,How many people did Randy Craft kill ?,NUM,
281,What 's the official animal of Canada ?,ENTY,
282,When did Spielberg direct `` Jaws '' ?,NUM,
283,What is the size of the largest akita ?,NUM,
284,What animal has the biggest eyes ?,ENTY,
285,What is California 's capital ?,LOC,
286,Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?,HUM,
287,Who was the founding member of the Pink Floyd band ?,HUM,
288,What European country is home to the beer-producing city of Budweis ?,LOC,
289,How do I find the balance of my social security account ?,DESC,
290,What is the history of Valentine 's Day cards ?,DESC,
291,Where was Christopher Columbus born ?,LOC,
292,What do Italians call Florence ?,ENTY,
293,How do you get to the top of the Eiffel Tower ?,DESC,
294,What does ` PSI ' stand for ?,ABBR,
295,What sea did the Romans call mare nostrum ?,LOC,
296,What 's the term for a bet before cards are dealt ?,ENTY,
297,Which came first ,ENTY,
298,What city did the Flintstones live in ?,LOC,
299,What is Latin for incompetent ?,ENTY,
300,What chemicals are used in lethal injection ?,ENTY,
301,What toy company is the world 's No.1 maker of female apparel ?,HUM,
302,What board game does a `` wood-pusher '' play poorly ?,ENTY,
303,Which Doonesbury character was likely to turn into a werewolf ?,HUM,
304,What is the abbreviation for micro ?,ABBR,
305,What are the 7 articles of the constitution ?,ENTY,
306,Who has won the most Super Bowls ?,HUM,
307,What does NASDAQ stand for ?,ABBR,
308,What is BPH ?,ABBR,
309,What is the fastest commercial automobile that can be bought in the US ?,ENTY,
310,What stadium do the Miami Dolphins play their home games in ?,LOC,
311,Who has the only speaking role in `` Silent Movie '' ?,HUM,
312,Why is poop sometimes different colors ?,DESC,
313,What was Einstein 's IQ ?,NUM,
314,What day was Pearl Harbor attacked in 1942 ?,NUM,
315,What girl 's name is `` Teddy '' an affectionate form of ?,HUM,
316,What state is John F. Kennedy buried in ?,LOC,
317,What is the best way to remove wallpaper ?,ENTY,
318,What U.S. state has an element named for it ?,LOC,
319,What company tabulates the ballots in voting for the Academy Awards ?,HUM,
320,How did the tradition of best man start ?,DESC,
321,How many years ago did the ship Titanic sink ?,NUM,
322,What is the deepest area of the Arctic Ocean ?,LOC,
323,What are Halloween 's colors ?,ENTY,
324,How is silk screening done ?,DESC,
325,What is the latitude and longitude of El Paso ,NUM,
326,Who made a boat out of gopher wood ?,HUM,
327,Where can I find a `` Fifth Element '' screensaver ?,LOC,
328,Which Bloom County resident wreaks havoc with a computer ?,HUM,
329,How do you match a name to a social security number ?,DESC,
330,How does a rainbow form ?,DESC,
331,What is the normal resting heart rate of a healthy adult ?,NUM,
332,What is the population of Ohio ?,NUM,
333,How many calories are there in a Big Mac ?,NUM,
334,Hazmat stands for what ?,DESC,
335,What creature scares people in the film `` Jaws '' ?,ENTY,
336,What part did John Peter Zenger play in the deveopment of the newspaper in America ?,HUM,
337,Who followed Caesar ?,HUM,
338,What are the four elements ?,ENTY,
339,Who was the first woman golfer to earn a million ?,HUM,
340,What 's the tallest piece on a chessboard ?,ENTY,
341,What is Answers.com 's address ?,LOC,
342,Where can I buy movies on videotape online ?,LOC,
343,Who does the advertizing for Frito-Lay ?,HUM,
344,Who is the leading competitor of Trans Union Company ?,HUM,
345,What product did Robert Conrad dare people to knock off his shoulder ?,ENTY,
346,Who invented the radio ?,HUM,
347,What 's the American dollar equivalent for 8 pounds in the U.K. ?,NUM,
348,What are the different approaches of systems analysis ?,ENTY,
349,How do doctors diagnose bone cancer ?,DESC,
350,Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?,HUM,
351,What is the speed of the Mississippi River ?,NUM,
352,What are the developmental stages of a swimmer ?,ENTY,
353,What actor first portrayed James Bond ?,HUM,
354,What ocean is the largest in the world ?,LOC,
355,Who was the first American poet to win the Nobel Prize for literature ,HUM,
356,What year did Jack Nicklaus join the Professional Golfers Association tour ?,NUM,
357,How many sonnets did Shakespeare write ?,NUM,
358,What causes the redness in your cheeks when you blush ?,DESC,
359,Who won the Nobel Peace Prize in 1991 ?,HUM,
360,Who are the Challengers of the Unknown ?,HUM,
361,Define the Pheonix Club ?,DESC,
362,Which city did Christian Crusaders fight to recapture from the Muslims ?,LOC,
363,What does it mean `` Rupee Depreciates '' ?,DESC,
364,What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' ?,ENTY,
365,Who was the first coach of the Cleveland Browns ?,HUM,
366,How successful is arometherapy ?,DESC,
367,What Jewish holiday saw the start of the 1973 Mideast War ?,ENTY,
368,How does a copier work ?,DESC,
369,What is the speed of the Mississippi River ?,NUM,
370,Who said of Super Bowl III in 1969 : `` We 'll win- I guarantee it '' ?,HUM,
371,What is Dudley Do-Right 's horse 's name ?,ENTY,
372,Who declared : `` I am down on whores and I shan 't stop ripping them '' ?,HUM,
373,Where does chocolate come from ?,LOC,
374,What TV game show once saw a contestant admit to picking his toes in the shower ?,ENTY,
375,What Soviet leader owned a Rolls-Royce ?,HUM,
376,Where can I find a case on Individuals with Disabilities Education Act of 1991 ?,LOC,
377,What war did Florence Nightingale tend the troops in ?,ENTY,
378,Who wrote the song ,HUM,
379,How many Beatles ' records went #1 ?,NUM,
380,Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?,HUM,
381,What is the abbreviation of the company name ` General Motors ' ?,ABBR,
382,What mountains lie between the Arkansas and Missouri rivers ?,LOC,
383,Who received the Will Rogers Award in 1989 ?,HUM,
384,What is the function of RAM ?,DESC,
385,What 's the closest G2 Spectrum Yellow Dwarf to Earth ?,LOC,
386,How many equal angles are there in an isosceles triangle ?,NUM,
387,What is the fear of cockroaches called ?,ENTY,
388,What CBS soap opera was interrupted by the bulletin of John F. Kennedy 's assassination ?,ENTY,
389,What is the use of a 24-hour clock instead of a 12-hour clock ?,DESC,
390,What was the name of the lawyer who represented Randy Craft ?,HUM,
391,What United States President had dreamed that he was assassinated ?,HUM,
392,What film did Lee Marvin win the 1965 best actor Oscar for ?,ENTY,
393,Where is Basque country located ?,LOC,
394,What product does `` Mrs. Olsen '' promote ?,ENTY,
395,What time of day did Emperor Hirohito die ?,NUM,
396,What is dry ice ?,DESC,
397,What 's the most powerful card in Euchre ?,ENTY,
398,What does `` intractable plantar keratoma '' mean ?,DESC,
399,How many years did it take James Joyce to write Ulysses ?,NUM,
400,What crop failure caused the Irish Famine ?,ENTY,
401,What South Korean city is served by Kimpo International Airport ?,LOC,
402,How many types of dogs ' tails are there - three,NUM,
403,What is the longest-running television series ?,ENTY,
404,What predators exist on Antarctica ?,ENTY,
405,What is the difference between a generator and an alternator ?,DESC,
406,How is energy created ?,DESC,
407,What beer advertised that it had `` three rings '' ?,ENTY,
408,What is the quantity of American soldiers still unaccounted for from the Vietnam war ?,NUM,
409,What golfing accessory was patented by George Grant on December 12,ENTY,
410,What are the different types of plastic ?,ENTY,
411,How is it correct to say ` qigong ' ?,DESC,
412,What was the highest mountain on earth before Mount Everest was discovered ?,LOC,
413,Where was the Ligurian Republic ,LOC,
414,What country 's people are the top television watchers ?,LOC,
415,When was the women 's suffrage amendment ratified ?,NUM,
416,What Polynesian people inhabit New Zealand ?,HUM,
417,What movie tour of the Roman empire features the admonition : `` Row well and live '' ?,ENTY,
418,What Nevada center has been dubbed The Biggest Little City in the World ?,LOC,
419,What President lived at 219 North Delaware Street ,HUM,
420,Give a reason for American Indians oftentimes dropping out of school .,DESC,
421,Where must a soccer goalie stand to be permitted to handle the ball ?,LOC,
422,What is the difference between classical conditioning and operant conditioning ?,DESC,
423,In what U.S. state was the first woman governor elected ?,LOC,
424,What are some interesting facts and information about dogsledding ?,DESC,
425,What year did Hitler die ?,NUM,
426,What famous model was married to Billy Joel ?,HUM,
427,What kind of animal is Babar ?,ENTY,
428,What is Jane Goodall known for ?,DESC,
429,What killed Bob Marley ?,ENTY,
430,How much money are Dumbo 's ears insured for ?,NUM,
431,Who danced into stardom with Fred Astaire in 1941 's You 'll Never Get Rich ?,HUM,
432,Who is Stein Eriksen ?,HUM,
433,What does the name Billie mean ?,DESC,
434,Who is the fastest swimmer in the world ?,HUM,
435,What is the highest peak in Africa ?,LOC,
436,Where is Procter & Gamble headquartered in the U.S. ?,LOC,
437,What desert has been called The Garden of Allah ?,LOC,
438,What do bicornate animals have two of ?,ENTY,
439,What function does a community 's water tower serve ?,DESC,
440,What is a fear of weakness ?,ENTY,
441,How many miles is it to Ohio from North Carolina ?,NUM,
442,How much snow equals an inch of rain ?,NUM,
443,What does G.M.T. stand for ?,ABBR,
444,What does Inuit and Eskimo mean ?,DESC,
445,What song served as the closing theme of The Johnny Cash Show ?,ENTY,
446,What field sport did dentist William Beers promote and write a standard book of rules for ?,ENTY,
447,How do I tie dye clothes ?,DESC,
448,When does the average teenager first have intercourse ?,NUM,
449,Why doesn 't www.answers.com have any answers to my questions ?,DESC,
450,What actor 's autobiography is titled All My Yesterdays ?,HUM,
451,What Russian master spy lived in the U.S. under the name Emil Goldfus ?,HUM,
452,Where 's the 19th hole on a golf course ?,LOC,
453,What 's nature 's purpose for tornadoes ?,DESC,
454,Who played the original Charlie 's Angels ?,HUM,
455,Where can I find a person 's address from a telephone number ?,LOC,
456,What English word comes from the Old French covrefeu ,ENTY,
457,What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?,ENTY,
458,Where did Sarge Steel get his metal hand ?,LOC,
459,What makes popcorn pop ?,DESC,
460,Who wrote The Night of the Iguana ?,HUM,
461,Where does your hair grow the fastest ?,ENTY,
462,What country did King Gustav V reign over from 197 to 195 ?,LOC,
463,Who painted Mother and Child ?,HUM,
464,What is the speed of the Mississippi River ?,NUM,
465,In what area of the world was the Six Day War fought ?,LOC,
466,What is the brightest star visible from Earth ?,LOC,
467,What film marked Robert Redford 's directorial debut ?,ENTY,
468,What was Mao 's second name ?,HUM,
469,What film or films has Jude Law appeared in ?,ENTY,
470,Where do hyenas live ?,LOC,
471,Who is the `` Queen Mother '' ?,HUM,
472,What 's the most commonly-spoken language in Belgium ?,ENTY,
473,Who has more DNA - a man or a woman ?,HUM,
474,What are Maid-Rites ?,DESC,
475,What children 's tale contains the line : `` Come ,ENTY,
476,What level of government or governmental agency is responsible for dealing with racism ?,HUM,
477,How many referees work a soccer game ?,NUM,
478,What cocktail do you concoct with whisky and sweet vermouth ?,ENTY,
479,How do you say `` fresh '' in Spanish ?,ENTY,
480,What do bee hives do in cranberry bogs ?,DESC,
481,What caused the Lynmouth floods ?,DESC,
482,When is the Tulip Festival in Michigan ?,NUM,
483,Who came up with the name ,HUM,
484,What movie did Madilyn Kahn star in with Gene Wilder ?,ENTY,
485,What type of bridge is the Golden Gate Bridge ?,ENTY,
486,What dictator has the nickname `` El Maximo '' ?,HUM,
487,What stereo manufacturer is `` Slightly ahead of its time '' ?,HUM,
488,What U.S. city is The Queen of the Pacific ?,LOC,
489,What TV sitcom character had the maiden name Ethel Potter ?,HUM,
490,What was the first Lifesaver flavor ?,ENTY,
491,Who kept the most famous diary in the English language ?,HUM,
492,Where can I find out the top 1 singles ?,LOC,
493,How many degrees cooler is the inside of a cucumber than the air outside ?,NUM,
494,What Spanish artist painted Crucifixion ?,HUM,
495,What is the Jewish bible called ?,ENTY,
496,Why is the grass green ?,DESC,
497,What is a firewall ?,DESC,
498,What spy novelist served as Moscow correspondent for Reuter and The Times of London ?,HUM,
499,Which oil company almost picked a word that meant `` stalled car '' in Japanese as its new international name ?,HUM,
500,How long does it take for Spider-Man 's web to evaporate ?,NUM,
501,Who was Randy Steven Craft 's lawyer ?,HUM,
502,What was known as the Spice Island ?,LOC,
503,Who was the first host of Person to Person ?,HUM,
504,Name the Ranger who was always after Yogi Bear .,HUM,
505,What deck of cards includes the Wheel of Fortune ,ENTY,
506,What does the Statue of Liberty wear on her feet ?,ENTY,
507,Who is the superstar in rent-a-cars ?,HUM,
508,McCarren Airport is located in what city ?,LOC,
509,What household facility contains a float ball ,ENTY,
510,What was the name of Betty Boop 's dog ?,ENTY,
